time,open,high,low,close,volume,atr_14,ret_log_1,rv_1h,rv_1d,range_total,range_body,range_upper_wick,range_lower_wick,range_total_pct,session,trend_flag
2025-11-20 02:05:00+00:00,6742.5,6744.25,6739.5,6740.0,0,4.376611769665494,-0.000370851107532365,0.00027363114348599564,0.0007090534176200387,4.75,2.5,1.75,0.5,0.5897959183673469,ASIA,1
2025-11-20 02:10:00+00:00,6739.75,6740.0,6738.25,6738.75,0,4.188996643260816,-0.0001854771404741884,0.00025775086166709586,0.0007091962425807649,1.75,1.0,0.25,0.5,0.15306122448979592,ASIA,1
2025-11-20 02:15:00+00:00,6738.5,6740.0,6737.5,6738.5,0,4.068354025885044,-3.709955666450613e-05,0.00018474001517538476,0.0007088294780007085,2.5,0.0,1.5,1.0,0.27346938775510204,ASIA,1
2025-11-20 02:20:00+00:00,6738.25,6739.5,6737.5,6738.5,0,3.920614452607541,0.0,0.00018158047115833265,0.0007033414289483936,2.0,0.25,1.0,0.75,0.1989795918367347,ASIA,1
2025-11-20 02:25:00+00:00,6738.5,6739.25,6737.5,6738.0,0,3.7655705631355736,-7.420324271580688e-05,0.00015494474181189662,0.0007029301476928338,1.75,0.5,0.75,0.5,0.15306122448979592,ASIA,1
2025-11-20 02:30:00+00:00,6738.25,6741.5,6737.5,6741.25,0,3.782315522911604,0.0004822226849386759,0.0002156938491064594,0.0007033910221727476,4.0,3.0,0.25,0.75,0.500765306122449,ASIA,1
2025-11-20 02:35:00+00:00,6741.25,6742.75,6741.0,6741.75,0,3.637150128417918,7.416747018155185e-05,0.00021675386427571312,0.0007030134027333979,1.75,0.5,1.0,0.25,0.15306122448979592,ASIA,1
2025-11-20 02:40:00+00:00,6741.75,6742.75,6740.5,6742.0,0,3.5380679763880667,3.7081672387680276e-05,0.0002044575323283127,0.0007028693872971802,2.25,0.25,0.75,1.25,0.23622448979591837,ASIA,1
2025-11-20 02:45:00+00:00,6742.0,6744.75,6741.75,6743.5,0,3.499634549503205,0.00022246116290619079,0.0002118611176233945,0.0007029311569330575,3.0,1.5,1.25,0.25,0.3563775510204082,ASIA,1
2025-11-20 02:50:00+00:00,6743.75,6745.0,6743.5,6744.75,0,3.3568035102529765,0.0001853465058222863,0.00021587577286316317,0.000701637832295918,1.5,1.0,0.25,0.25,0.10612244897959183,ASIA,1
2025-11-20 02:55:00+00:00,6744.75,6745.5,6743.5,6745.0,0,3.2598889738063352,3.7065179121778464e-05,0.0002115854551731963,0.0007015312695911359,2.0,0.25,0.5,1.25,0.1989795918367347,ASIA,1
2025-11-20 03:00:00+00:00,6744.75,6749.25,6744.5,6749.0,0,3.3663254756773116,0.0005928561015501549,0.00026586935549311196,0.0006997702848158781,4.75,4.25,0.25,0.25,0.5897959183673469,ASIA,1
2025-11-20 03:05:00+00:00,6749.0,6749.75,6747.75,6748.0,0,3.268730798843218,-0.00014818107754753284,0.00023780955557108622,0.0006995525909979972,2.0,1.0,0.75,0.25,0.1989795918367347,ASIA,1
2025-11-20 03:10:00+00:00,6748.0,6748.25,6745.75,6746.5,0,3.213821456068702,-0.00022231279501691312,0.00024201390305612366,0.0006996679422133802,2.5,1.5,0.25,0.75,0.27346938775510204,ASIA,1
