time,open,high,low,close,volume
2025-11-19T01:05:00Z,6634.75,6634.75,6628.75,6630.75,0
2025-11-19T01:10:00Z,6630.75,6632.5,6627.5,6631.0,0
2025-11-19T01:15:00Z,6631.0,6635.25,6631.0,6634.0,0
2025-11-19T01:20:00Z,6634.0,6647.5,6634.0,6644.25,0
2025-11-19T01:25:00Z,6644.5,6647.0,6641.75,6641.75,0
2025-11-19T01:30:00Z,6642.0,6644.5,6639.25,6642.0,0
2025-11-19T01:35:00Z,6642.25,6643.0,6637.75,6639.75,0
2025-11-19T01:40:00Z,6639.75,6640.25,6636.5,6638.5,0
2025-11-19T01:45:00Z,6638.5,6641.75,6637.5,6639.25,0
2025-11-19T01:50:00Z,6639.25,6641.25,6634.5,6634.75,0
2025-11-19T01:55:00Z,6634.5,6634.75,6629.0,6633.75,0
2025-11-19T02:00:00Z,6634.0,6642.0,6634.0,6640.75,0
2025-11-19T02:05:00Z,6640.75,6645.75,6640.75,6643.5,0
2025-11-19T02:10:00Z,6643.5,6647.5,6643.25,6645.0,0
2025-11-19T02:15:00Z,6645.0,6647.75,6643.25,6643.75,0
2025-11-19T02:20:00Z,6644.0,6644.75,6640.75,6643.5,0
2025-11-19T02:25:00Z,6643.5,6648.5,6643.0,6646.75,0
2025-11-19T02:30:00Z,6647.0,6651.25,6646.75,6649.25,0
2025-11-19T02:35:00Z,6649.5,6652.25,6647.75,6649.25,0
2025-11-19T02:40:00Z,6649.25,6650.0,6647.75,6648.75,0
2025-11-19T02:45:00Z,6648.75,6650.75,6647.75,6648.5,0
2025-11-19T02:50:00Z,6648.75,6649.75,6647.0,6648.5,0
2025-11-19T02:55:00Z,6648.75,6651.25,6648.75,6650.5,0
2025-11-19T03:00:00Z,6650.75,6652.5,6648.25,6651.25,0
2025-11-19T03:05:00Z,6651.25,6651.75,6647.0,6648.25,0
2025-11-19T03:10:00Z,6648.25,6649.0,6645.25,6645.5,0
2025-11-19T03:15:00Z,6645.5,6645.75,6638.5,6639.25,0
2025-11-19T03:20:00Z,6639.5,6641.25,6638.25,6640.75,0
2025-11-19T03:25:00Z,6640.75,6641.5,6637.0,6641.25,0
2025-11-19T03:30:00Z,6641.0,6641.25,6638.25,6640.25,0
2025-11-19T03:35:00Z,6640.0,6640.25,6636.0,6636.75,0
2025-11-19T03:40:00Z,6636.75,6639.0,6635.75,6637.0,0
2025-11-19T03:45:00Z,6637.0,6637.25,6630.5,6630.5,0
2025-11-19T03:50:00Z,6630.5,6632.0,6629.75,6630.0,0
2025-11-19T03:55:00Z,6630.0,6632.25,6629.75,6630.75,0
2025-11-19T04:00:00Z,6630.75,6632.25,6628.25,6630.25,0
2025-11-19T04:05:00Z,6630.5,6632.25,6627.75,6628.25,0
2025-11-19T04:10:00Z,6628.25,6629.75,6621.5,6626.0,0
2025-11-19T04:15:00Z,6626.0,6631.5,6625.75,6629.25,0
2025-11-19T04:20:00Z,6630.0,6632.0,6629.25,6631.0,0
2025-11-19T04:25:00Z,6631.0,6632.25,6629.25,6630.75,0
2025-11-19T04:30:00Z,6630.75,6631.0,6623.5,6624.25,0
2025-11-19T04:35:00Z,6624.0,6627.25,6622.25,6626.5,0
2025-11-19T04:40:00Z,6626.75,6630.0,6625.5,6629.25,0
2025-11-19T04:45:00Z,6629.25,6631.5,6626.5,6629.5,0
2025-11-19T04:50:00Z,6629.5,6634.5,6629.0,6632.5,0
2025-11-19T04:55:00Z,6632.5,6633.0,6626.75,6627.0,0
2025-11-19T05:00:00Z,6627.25,6632.25,6627.0,6632.25,0
2025-11-19T05:05:00Z,6632.25,6633.0,6628.5,6630.25,0
2025-11-19T05:10:00Z,6630.25,6630.25,6626.75,6627.75,0
2025-11-19T05:15:00Z,6627.5,6629.5,6627.0,6627.75,0
2025-11-19T05:20:00Z,6627.75,6633.5,6627.75,6630.5,0
2025-11-19T05:25:00Z,6630.5,6630.75,6626.0,6626.5,0
2025-11-19T05:30:00Z,6626.5,6628.0,6623.75,6627.25,0
2025-11-19T05:35:00Z,6626.5,6627.75,6620.5,6621.5,0
2025-11-19T05:40:00Z,6621.5,6622.0,6615.25,6616.0,0
2025-11-19T05:45:00Z,6616.25,6621.0,6613.25,6620.0,0
2025-11-19T05:50:00Z,6620.25,6630.25,6619.75,6630.0,0
2025-11-19T05:55:00Z,6630.0,6634.0,6628.0,6630.5,0
2025-11-19T06:00:00Z,6630.25,6632.5,6626.75,6630.0,0
2025-11-19T06:05:00Z,6630.0,6630.5,6627.5,6628.75,0
2025-11-19T06:10:00Z,6628.75,6632.0,6627.5,6629.75,0
2025-11-19T06:15:00Z,6630.0,6636.5,6629.75,6635.5,0
2025-11-19T06:20:00Z,6635.75,6636.0,6630.5,6632.25,0
2025-11-19T06:25:00Z,6632.25,6633.25,6630.5,6632.5,0
2025-11-19T06:30:00Z,6632.5,6634.5,6630.25,6633.0,0
2025-11-19T06:35:00Z,6633.0,6635.0,6632.5,6633.0,0
