timestamp,open,high,low,close,volume
2025-11-26T00:00:00+00:00,87331,87565,87313,87565,11.87808362
2025-11-26T00:05:00+00:00,87572,87572,87447,87447,6.08933334
2025-11-26T00:10:00+00:00,87442,87499,87413,87427,2.25975358
2025-11-26T00:15:00+00:00,87412,87562,87339,87562,10.28094503
2025-11-26T00:20:00+00:00,87582,87736,87504,87682,7.03467028
2025-11-26T00:25:00+00:00,87681,87682,87493,87597,6.46429377
2025-11-26T00:30:00+00:00,87602,87635,87563,87611,6.08848704
2025-11-26T00:35:00+00:00,87614,87723,87439,87439,8.87860496
2025-11-26T00:40:00+00:00,87439,87513,87361,87504,8.50219865
2025-11-26T00:45:00+00:00,87507,87666,87505,87660,4.16654252
2025-11-26T00:50:00+00:00,87659,87698,87565,87573,7.36297148
2025-11-26T00:55:00+00:00,87573,87590,87451,87535,6.10735186
2025-11-26T01:00:00+00:00,87534,87534,87363,87363,3.20932815
2025-11-26T01:05:00+00:00,87360,87460,87299,87440,4.66056845
2025-11-26T01:10:00+00:00,87433,87501,87377,87471,1.72328387
2025-11-26T01:15:00+00:00,87480,87531,87441,87451,2.17725876
2025-11-26T01:20:00+00:00,87451,87519,87424,87434,1.52685824
2025-11-26T01:25:00+00:00,87430,87622,87397,87533,2.35920506
2025-11-26T01:30:00+00:00,87559,87850,87515,87794,8.72390792
2025-11-26T01:35:00+00:00,87794,87976,87793,87975,15.85120204
2025-11-26T01:40:00+00:00,87975,88181,87950,88044,6.49966727
2025-11-26T01:45:00+00:00,88044,88044,87890,87921,5.63709335
2025-11-26T01:50:00+00:00,87922,87969,87861,87958,1.84157886
2025-11-26T01:55:00+00:00,87957,87957,87823,87885,11.35202171
2025-11-26T02:00:00+00:00,87885,87949,87849,87859,7.07275088
2025-11-26T02:05:00+00:00,87860,87877,87793,87815,2.14662281
2025-11-26T02:10:00+00:00,87815,87991,87815,87956,3.25957975
2025-11-26T02:15:00+00:00,87956,88050,87888,87956,2.12160581
2025-11-26T02:20:00+00:00,87956,87957,87772,87797,1.30967301
2025-11-26T02:25:00+00:00,87788,87809,87725,87770,1.78052099
2025-11-26T02:30:00+00:00,87769,87787,87624,87739,7.59320665
2025-11-26T02:35:00+00:00,87739,87906,87725,87899,4.76427364
2025-11-26T02:40:00+00:00,87899,87927,87819,87851,1.67303053
2025-11-26T02:45:00+00:00,87850,87850,87714,87750,2.89801739
2025-11-26T02:50:00+00:00,87750,87794,87746,87774,1.98964286
2025-11-26T02:55:00+00:00,87774,87776,87642,87678,5.22520731
2025-11-26T03:00:00+00:00,87695,87717,87642,87663,3.34357382
2025-11-26T03:05:00+00:00,87663,87706,87662,87667,1.98733739
2025-11-26T03:10:00+00:00,87665,87739,87645,87666,2.18800223
2025-11-26T03:15:00+00:00,87665,87736,87625,87718,2.95811802
2025-11-26T03:20:00+00:00,87719,87854,87707,87808,2.19961518
2025-11-26T03:25:00+00:00,87812,87841,87769,87782,2.26104539
2025-11-26T03:30:00+00:00,87760,87760,87423,87425,7.73844313
2025-11-26T03:35:00+00:00,87426,87448,87337,87412,2.09530967
2025-11-26T03:40:00+00:00,87412,87412,87241,87324,47.36780866
2025-11-26T03:45:00+00:00,87336,87336,87219,87232,3.54331122
2025-11-26T03:50:00+00:00,87241,87241,87052,87053,11.20958429
2025-11-26T03:55:00+00:00,87065,87123,87042,87083,8.04316296
2025-11-26T04:00:00+00:00,87087,87254,87087,87203,3.07167198
2025-11-26T04:05:00+00:00,87190,87190,86928,86962,9.11936544
2025-11-26T04:10:00+00:00,86959,86959,86876,86877,5.7163634
2025-11-26T04:15:00+00:00,86874,86977,86874,86927,2.55232353
2025-11-26T04:20:00+00:00,86952,87101,86947,87100,3.35005387
2025-11-26T04:25:00+00:00,87095,87215,87042,87206,1.03586047
2025-11-26T04:30:00+00:00,87207,87272,87170,87225,1.90576791
2025-11-26T04:35:00+00:00,87228,87317,87228,87308,3.65521482
2025-11-26T04:40:00+00:00,87309,87329,87219,87235,1.60148738
2025-11-26T04:45:00+00:00,87237,87295,87153,87155,11.06734058
2025-11-26T04:50:00+00:00,87155,87199,87144,87196,1.59883805
2025-11-26T04:55:00+00:00,87196,87239,87195,87196,0.73769037
2025-11-26T05:00:00+00:00,87188,87283,87184,87283,3.96597567
2025-11-26T05:05:00+00:00,87283,87425,87282,87373,8.92360573
2025-11-26T05:10:00+00:00,87369,87400,87350,87380,0.76112327
2025-11-26T05:15:00+00:00,87380,87492,87380,87492,34.65113206
2025-11-26T05:20:00+00:00,87491,87659,87449,87492,13.07879038
2025-11-26T05:25:00+00:00,87491,87509,87438,87509,1.3219227
2025-11-26T05:30:00+00:00,87514,87641,87514,87603,3.51461771
2025-11-26T05:35:00+00:00,87602,87666,87599,87666,0.89340745
2025-11-26T05:40:00+00:00,87667,87704,87583,87588,3.78838048
2025-11-26T05:45:00+00:00,87591,87591,87502,87559,3.37580906
2025-11-26T05:50:00+00:00,87559,87567,87475,87567,0.60307903
2025-11-26T05:55:00+00:00,87564,87605,87436,87480,0.31742971
2025-11-26T06:00:00+00:00,87465,87545,87417,87524,4.08241564
2025-11-26T06:05:00+00:00,87577,87655,87525,87655,0.70581945
2025-11-26T06:10:00+00:00,87655,87660,87524,87608,4.23810772
2025-11-26T06:15:00+00:00,87608,87624,87453,87481,8.81413124
2025-11-26T06:20:00+00:00,87486,87561,87454,87536,2.53932198
2025-11-26T06:25:00+00:00,87535,87576,87501,87576,3.26927129
2025-11-26T06:30:00+00:00,87575,87575,87427,87438,2.33988145
2025-11-26T06:35:00+00:00,87439,87577,87439,87575,1.70333122
2025-11-26T06:40:00+00:00,87575,87646,87545,87639,2.63852738
2025-11-26T06:45:00+00:00,87640,87646,87559,87641,1.54061295
2025-11-26T06:50:00+00:00,87641,87807,87619,87784,10.79986289
2025-11-26T06:55:00+00:00,87768,87829,87768,87780,2.58373893
2025-11-26T07:00:00+00:00,87759,87817,87711,87717,7.51353365
2025-11-26T07:05:00+00:00,87720,87749,87656,87726,4.04735004
2025-11-26T07:10:00+00:00,87725,87780,87696,87780,2.38445085
2025-11-26T07:15:00+00:00,87780,87839,87747,87759,3.87966398
2025-11-26T07:20:00+00:00,87734,87788,87694,87757,1.69154971
2025-11-26T07:25:00+00:00,87757,87765,87725,87765,2.63309826
2025-11-26T07:30:00+00:00,87751,87762,87686,87762,2.95316974
2025-11-26T07:35:00+00:00,87761,87761,87686,87720,3.86355935
2025-11-26T07:40:00+00:00,87701,87761,87683,87760,0.69428393
2025-11-26T07:45:00+00:00,87751,87826,87707,87812,0.49032821
2025-11-26T07:50:00+00:00,87812,87813,87751,87757,14.38604361
2025-11-26T07:55:00+00:00,87756,87932,87738,87907,5.43375154
2025-11-26T08:00:00+00:00,87906,87907,87773,87789,6.63931996
2025-11-26T08:05:00+00:00,87788,87798,87662,87662,1.93121865
2025-11-26T08:10:00+00:00,87662,87684,87549,87575,1.85771396
2025-11-26T08:15:00+00:00,87575,87641,87473,87521,5.43511941
2025-11-26T08:20:00+00:00,87523,87539,87512,87526,3.1801181
2025-11-26T08:25:00+00:00,87520,87556,87493,87514,5.74003992
2025-11-26T08:30:00+00:00,87515,87585,87483,87483,4.18992715
2025-11-26T08:35:00+00:00,87476,87513,87424,87456,4.84813993
2025-11-26T08:40:00+00:00,87467,87533,87467,87503,2.88582506
2025-11-26T08:45:00+00:00,87503,87533,87474,87527,1.58306559
2025-11-26T08:50:00+00:00,87532,87532,87426,87426,2.4139223
2025-11-26T08:55:00+00:00,87418,87423,87383,87389,0.91056397
2025-11-26T09:00:00+00:00,87381,87408,87345,87381,3.75407698
2025-11-26T09:05:00+00:00,87381,87393,87282,87282,7.20622188
2025-11-26T09:10:00+00:00,87282,87389,87282,87328,1.696333
2025-11-26T09:15:00+00:00,87328,87328,87240,87278,29.1171007
2025-11-26T09:20:00+00:00,87277,87277,87086,87171,13.24394071
2025-11-26T09:25:00+00:00,87171,87171,87077,87095,0.70927399
2025-11-26T09:30:00+00:00,87080,87096,86948,86948,10.63370841
2025-11-26T09:35:00+00:00,86948,87024,86917,86956,25.99769997
2025-11-26T09:40:00+00:00,86937,86937,86908,86935,3.06922049
2025-11-26T09:45:00+00:00,86926,86933,86792,86807,7.61603504
2025-11-26T09:50:00+00:00,86818,86834,86750,86750,9.61404297
2025-11-26T09:55:00+00:00,86750,86800,86729,86797,9.32305346
2025-11-26T10:00:00+00:00,86797,87029,86797,87006,5.39335801
2025-11-26T10:05:00+00:00,87006,87006,86895,86964,4.94510013
2025-11-26T10:10:00+00:00,86958,86966,86864,86895,1.18614574
2025-11-26T10:15:00+00:00,86887,86891,86842,86842,2.67904804
2025-11-26T10:20:00+00:00,86802,86828,86763,86766,3.45104222
2025-11-26T10:25:00+00:00,86761,86842,86755,86839,2.57210143
2025-11-26T10:30:00+00:00,86838,86838,86657,86688,9.32110452
2025-11-26T10:35:00+00:00,86682,86783,86642,86773,6.30301149
2025-11-26T10:40:00+00:00,86773,86902,86773,86853,3.6701317
2025-11-26T10:45:00+00:00,86846,86858,86765,86858,6.55240555
2025-11-26T10:50:00+00:00,86850,86946,86832,86939,5.91337207
2025-11-26T10:55:00+00:00,86939,86962,86905,86915,1.71227402
2025-11-26T11:00:00+00:00,86915,86915,86813,86853,3.76339372
2025-11-26T11:05:00+00:00,86853,86956,86836,86920,1.89710686
2025-11-26T11:10:00+00:00,86921,86996,86921,86956,10.42027909
2025-11-26T11:15:00+00:00,86956,86975,86868,86893,50.21637672
2025-11-26T11:20:00+00:00,86893,86899,86859,86868,3.86454777
2025-11-26T11:25:00+00:00,86860,86907,86841,86868,3.28895433
2025-11-26T11:30:00+00:00,86868,86922,86847,86883,3.87181178
2025-11-26T11:35:00+00:00,86883,86944,86868,86894,7.69266534
2025-11-26T11:40:00+00:00,86882,87045,86882,87036,3.37493531
2025-11-26T11:45:00+00:00,87038,87083,86951,86951,1.38308697
2025-11-26T11:50:00+00:00,86951,87028,86940,87027,0.61933872
2025-11-26T11:55:00+00:00,87033,87083,87015,87083,0.47432271
2025-11-26T12:00:00+00:00,87083,87136,86730,86730,15.89472112
2025-11-26T12:05:00+00:00,86730,86849,86708,86758,9.21308808
2025-11-26T12:10:00+00:00,86759,86759,86564,86564,13.07053255
2025-11-26T12:15:00+00:00,86563,86596,86407,86411,18.22256971
2025-11-26T12:20:00+00:00,86407,86483,86304,86461,4.90140108
2025-11-26T12:25:00+00:00,86454,86508,86427,86503,0.97794821
2025-11-26T12:30:00+00:00,86504,86508,86427,86455,1.69661328
2025-11-26T12:35:00+00:00,86437,86573,86426,86555,0.97024436
2025-11-26T12:40:00+00:00,86555,86655,86534,86604,8.05648159
2025-11-26T12:45:00+00:00,86604,86699,86586,86588,6.03699445
2025-11-26T12:50:00+00:00,86588,86639,86582,86639,3.71609069
2025-11-26T12:55:00+00:00,86642,86680,86621,86633,1.03447042
2025-11-26T13:00:00+00:00,86629,86672,86551,86585,4.43397513
2025-11-26T13:05:00+00:00,86619,86673,86595,86601,1.8174304
2025-11-26T13:10:00+00:00,86601,86643,86563,86569,1.03993026
2025-11-26T13:15:00+00:00,86568,86666,86559,86653,1.98406175
2025-11-26T13:20:00+00:00,86650,86744,86650,86725,1.06200074
2025-11-26T13:25:00+00:00,86726,86802,86691,86695,25.68230334
2025-11-26T13:30:00+00:00,86687,86759,86556,86588,6.18874405
2025-11-26T13:35:00+00:00,86598,86896,86598,86896,31.66257532
2025-11-26T13:40:00+00:00,86896,87063,86896,86975,32.57911331
2025-11-26T13:45:00+00:00,86974,87002,86910,86970,3.76686052
2025-11-26T13:50:00+00:00,86978,87058,86922,86964,3.43820605
2025-11-26T13:55:00+00:00,86957,87104,86954,87094,6.95266464
2025-11-26T14:00:00+00:00,87093,87093,86926,86991,4.37794594
2025-11-26T14:05:00+00:00,87000,87067,86971,86994,9.62126369
2025-11-26T14:10:00+00:00,86987,87307,86982,87283,15.96435787
2025-11-26T14:15:00+00:00,87284,87284,87179,87218,7.13228575
2025-11-26T14:20:00+00:00,87189,87320,87189,87250,3.44690474
2025-11-26T14:25:00+00:00,87251,87314,87231,87288,2.75069721
2025-11-26T14:30:00+00:00,87288,87428,87044,87136,18.74292634
2025-11-26T14:35:00+00:00,87136,87346,87125,87321,10.06029081
2025-11-26T14:40:00+00:00,87332,87513,87197,87261,13.87835761
2025-11-26T14:45:00+00:00,87270,87580,87263,87580,12.44896129
2025-11-26T14:50:00+00:00,87581,87641,87169,87169,19.66272893
2025-11-26T14:55:00+00:00,87169,87240,86795,86870,49.04563237
2025-11-26T15:00:00+00:00,86883,87110,86840,87033,8.14337686
2025-11-26T15:05:00+00:00,87025,87214,86915,87145,8.04433583
2025-11-26T15:10:00+00:00,87146,87174,86966,87002,5.64183643
2025-11-26T15:15:00+00:00,87002,87194,86864,87030,10.22138545
2025-11-26T15:20:00+00:00,87031,87055,86871,86933,17.01307575
2025-11-26T15:25:00+00:00,86931,87303,86931,87233,7.66738704
2025-11-26T15:30:00+00:00,87233,87323,87091,87092,10.94948016
2025-11-26T15:35:00+00:00,87098,87185,87040,87092,9.63212718
2025-11-26T15:40:00+00:00,87082,87132,86862,86862,15.34730039
2025-11-26T15:45:00+00:00,86856,86856,86665,86791,40.39423142
2025-11-26T15:50:00+00:00,86774,86976,86731,86913,10.73030767
2025-11-26T15:55:00+00:00,86913,86968,86851,86938,16.92584127
2025-11-26T16:00:00+00:00,86938,87197,86937,87196,35.84564602
2025-11-26T16:05:00+00:00,87196,87366,87178,87307,14.35074476
2025-11-26T16:10:00+00:00,87311,87539,87311,87529,20.10198576
2025-11-26T16:15:00+00:00,87529,87814,87529,87594,19.13220651
2025-11-26T16:20:00+00:00,87594,87717,87594,87676,18.01217138
2025-11-26T16:25:00+00:00,87670,87731,87560,87564,9.98249656
2025-11-26T16:30:00+00:00,87564,87721,87547,87718,10.80554323
2025-11-26T16:35:00+00:00,87719,87902,87719,87787,20.09699031
2025-11-26T16:40:00+00:00,87781,87785,87569,87581,7.07230738
2025-11-26T16:45:00+00:00,87581,87703,87577,87628,16.60991871
2025-11-26T16:50:00+00:00,87623,87646,87473,87607,13.85787098
2025-11-26T16:55:00+00:00,87607,87827,87607,87796,9.50952179
2025-11-26T17:00:00+00:00,87796,87889,87730,87752,11.72294151
2025-11-26T17:05:00+00:00,87752,87902,87752,87833,11.92163316
