side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason
LONG,2025-11-26 02:35:00+00:00,2025-11-26 02:55:00+00:00,87899.0,87703.4857142857,-195.51428571429278,-0.0022243061435772054,4,SL
LONG,2025-11-26 07:05:00+00:00,2025-11-26 08:10:00+00:00,87726.0,87582.68571428572,-143.31428571428114,-0.001633658045668116,13,SL
SHORT,2025-11-26 14:05:00+00:00,2025-11-26 14:10:00+00:00,86994.0,87158.65714285715,-164.65714285714785,-0.0018927413713261587,1,SL
LONG,2025-11-26 14:35:00+00:00,2025-11-26 14:55:00+00:00,87321.0,87100.8,-220.1999999999971,-0.002521730168000791,4,SL
LONG,2025-11-26 15:15:00+00:00,2025-11-26 15:45:00+00:00,87030.0,86695.02857142857,-334.971428571429,-0.003848919091938745,6,SL
LONG,2025-11-26 15:55:00+00:00,2025-11-26 16:15:00+00:00,86938.0,87749.28571428571,811.2857142857101,0.009331773382016037,4,TP
SHORT,2025-11-28 17:25:00+00:00,2025-11-28 18:10:00+00:00,90507.0,90855.0,-348.0,-0.0038450064635884517,9,SL
SHORT,2025-11-29 18:10:00+00:00,2025-11-29 18:40:00+00:00,90410.0,90574.4857142857,-164.48571428570722,-0.0018193309842462915,6,SL
SHORT,2025-11-30 23:35:00+00:00,2025-11-30 23:40:00+00:00,90527.0,90680.42857142857,-153.4285714285652,-0.0016948376885190628,1,SL
SHORT,2025-11-30 23:50:00+00:00,2025-12-01 00:00:00+00:00,90405.0,89982.0,423.0,0.00467894474863116,2,TP
