side,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct,bars_held,exit_reason
LONG,2025-12-06 06:50:00+00:00,2025-12-06 07:25:00+00:00,89698.02,89611.80342857144,-86.21657142856566,-0.0009611870075679,7,SL
LONG,2025-12-06 07:35:00+00:00,2025-12-06 08:20:00+00:00,89633.65,89546.22657142856,-87.42342857143376,-0.0009753416107838268,9,SL
SHORT,2025-12-06 08:25:00+00:00,2025-12-06 08:35:00+00:00,89302.03,89424.45657142857,-122.42657142857206,-0.0013709270822687017,2,SL
SHORT,2025-12-06 08:45:00+00:00,2025-12-06 09:10:00+00:00,89313.68,89451.91571428571,-138.23571428572177,-0.0015477552183016283,5,SL
SHORT,2025-12-06 09:20:00+00:00,2025-12-06 09:35:00+00:00,89531.85,89684.39828571428,-152.54828571427788,-0.0017038437797753298,3,SL
SHORT,2025-12-06 09:40:00+00:00,2025-12-06 10:15:00+00:00,89646.31,89621.86,24.44999999999709,0.00027273849866209877,7,FLIP
LONG,2025-12-06 14:15:00+00:00,2025-12-06 14:20:00+00:00,90087.99,89963.80457142858,-124.18542857142165,-0.001378490391132288,1,SL
LONG,2025-12-06 14:30:00+00:00,2025-12-06 15:05:00+00:00,90036.71,89886.24200000001,-150.46799999999348,-0.0016711850088701984,7,SL
LONG,2025-12-06 15:20:00+00:00,2025-12-06 17:35:00+00:00,89599.99,89675.78,75.7899999999936,0.0008458706301194184,27,FLIP
SHORT,2025-12-06 17:45:00+00:00,2025-12-06 18:10:00+00:00,89674.0,89797.52285714286,-123.52285714285972,-0.0013774656772627487,5,SL
SHORT,2025-12-06 18:15:00+00:00,2025-12-06 19:05:00+00:00,89743.84,89453.38857142857,290.4514285714249,0.0032364497504388592,10,TP
SHORT,2025-12-06 19:10:00+00:00,2025-12-06 21:05:00+00:00,89507.79,89635.76057142856,-127.97057142856647,-0.0014297143458526513,23,SL
SHORT,2025-12-06 21:10:00+00:00,2025-12-06 22:55:00+00:00,89509.98,89259.03428571428,250.94571428571362,0.0028035501101185993,21,TP
SHORT,2025-12-06 23:00:00+00:00,2025-12-06 23:45:00+00:00,89120.56,89259.85342857143,-139.2934285714291,-0.0015629774832140765,9,SL
SHORT,2025-12-07 00:10:00+00:00,2025-12-07 00:25:00+00:00,89215.97,89373.49828571429,-157.52828571428836,-0.001765696048748765,3,SL
SHORT,2025-12-07 00:40:00+00:00,2025-12-07 01:10:00+00:00,89513.91,89505.99,7.919999999998254,8.847786897028913e-05,6,FLIP
LONG,2025-12-07 01:15:00+00:00,2025-12-07 01:25:00+00:00,89564.76,89431.56685714285,-133.19314285714063,-0.0014871155000821823,2,SL
LONG,2025-12-07 01:45:00+00:00,2025-12-07 01:55:00+00:00,89427.83,89321.906,-105.92399999999907,-0.0011844634941941348,2,SL
LONG,2025-12-07 02:00:00+00:00,2025-12-07 02:55:00+00:00,89385.99,89655.18857142857,269.19857142856927,0.0030116416613897687,11,TP
LONG,2025-12-07 03:05:00+00:00,2025-12-07 04:35:00+00:00,89597.97,89509.71257142858,-88.25742857142177,-0.0009850382611505794,18,SL
LONG,2025-12-07 04:40:00+00:00,2025-12-07 05:05:00+00:00,89577.77,89484.86342857144,-92.90657142856799,-0.0010371610214070744,5,SL
SHORT,2025-12-07 07:25:00+00:00,2025-12-07 08:40:00+00:00,89400.0,89493.432,-93.4320000000007,-0.0010451006711409475,15,SL
SHORT,2025-12-07 08:45:00+00:00,2025-12-07 09:20:00+00:00,89466.95,89202.20857142856,264.74142857143306,0.002959097505519447,7,TP
SHORT,2025-12-07 09:35:00+00:00,2025-12-07 10:40:00+00:00,89233.75,89344.08485714285,-110.33485714285052,-0.0012364700255547987,13,SL
SHORT,2025-12-07 10:50:00+00:00,2025-12-07 12:45:00+00:00,89335.42,89462.66285714286,-127.24285714286088,-0.001424327071422073,23,SL
LONG,2025-12-07 13:05:00+00:00,2025-12-07 13:10:00+00:00,89448.01,89340.106,-107.903999999995,-0.0012063320357825176,1,SL
LONG,2025-12-07 13:15:00+00:00,2025-12-07 13:20:00+00:00,89357.99,89245.16685714286,-112.82314285714529,-0.0012625971427641252,1,SL
SHORT,2025-12-07 13:35:00+00:00,2025-12-07 13:50:00+00:00,88944.0,89123.98714285715,-179.9871428571496,-0.002023600724693623,3,SL
SHORT,2025-12-07 13:55:00+00:00,2025-12-07 14:20:00+00:00,89056.97,88596.95857142858,460.0114285714226,0.005165361325131796,5,TP
SHORT,2025-12-07 14:25:00+00:00,2025-12-07 14:35:00+00:00,87947.82,88244.94428571429,-297.1242857142788,-0.003378415584539546,2,SL
SHORT,2025-12-07 14:40:00+00:00,2025-12-07 14:45:00+00:00,88252.0,88298.0,-46.0,-0.0005212346462403118,1,FLIP
SHORT,2025-12-07 14:50:00+00:00,2025-12-07 14:55:00+00:00,88114.0,88239.13,-125.13000000000466,-0.0014200921533468536,1,FLIP
SHORT,2025-12-07 15:00:00+00:00,2025-12-07 15:05:00+00:00,88200.52,88530.00142857143,-329.48142857142375,-0.0037355950800678243,1,SL
SHORT,2025-12-07 15:10:00+00:00,2025-12-07 15:55:00+00:00,88884.0,89290.17085714286,-406.17085714286077,-0.004569673474898303,9,SL
SHORT,2025-12-07 16:00:00+00:00,2025-12-07 16:15:00+00:00,89417.36,89349.52,67.83999999999651,0.0007586893641234377,3,FLIP
LONG,2025-12-07 16:25:00+00:00,2025-12-07 17:15:00+00:00,89345.64,90029.81571428571,684.1757142857095,0.007657628444831886,10,TP
LONG,2025-12-07 17:20:00+00:00,2025-12-07 18:00:00+00:00,90619.65,91368.24857142857,748.598571428578,0.008260885706671545,8,TP
LONG,2025-12-07 18:15:00+00:00,2025-12-07 21:20:00+00:00,91489.43,91092.09285714285,-397.33714285714086,-0.004342984133327106,37,SL
